"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","384","test_find_pets_by_tags","tests","Mon Dec 02 01:49:26 GMT 2024","passed","Mon Dec 02 01:49:27 GMT 2024","TestPet","test_pet","",""
"","386","test_logout_user","tests","Mon Dec 02 01:49:31 GMT 2024","passed","Mon Dec 02 01:49:31 GMT 2024","TestUser","test_user","",""
"","394","test_place_order","tests","Mon Dec 02 01:49:27 GMT 2024","passed","Mon Dec 02 01:49:28 GMT 2024","TestStore","test_store","",""
"","384","test_get_pet_by_id","tests","Mon Dec 02 01:49:25 GMT 2024","passed","Mon Dec 02 01:49:26 GMT 2024","TestPet","test_pet","",""
"","385","test_create_user","tests","Mon Dec 02 01:49:31 GMT 2024","passed","Mon Dec 02 01:49:32 GMT 2024","TestUser","test_user","",""
"","389","test_delete_pet","tests","Mon Dec 02 01:49:26 GMT 2024","passed","Mon Dec 02 01:49:26 GMT 2024","TestPet","test_pet","",""
"","390","test_get_user_by_username","tests","Mon Dec 02 01:49:30 GMT 2024","passed","Mon Dec 02 01:49:30 GMT 2024","TestUser","test_user","",""
"","387","test_update_pet","tests","Mon Dec 02 01:49:25 GMT 2024","passed","Mon Dec 02 01:49:25 GMT 2024","TestPet","test_pet","",""
"","404","test_find_pets_by_status","tests","Mon Dec 02 01:49:26 GMT 2024","passed","Mon Dec 02 01:49:26 GMT 2024","TestPet","test_pet","",""
"","400","test_create_users_with_array","tests","Mon Dec 02 01:49:29 GMT 2024","passed","Mon Dec 02 01:49:29 GMT 2024","TestUser","test_user","",""
"","389","test_login_user","tests","Mon Dec 02 01:49:31 GMT 2024","passed","Mon Dec 02 01:49:31 GMT 2024","TestUser","test_user","",""
"","393","test_get_inventory","tests","Mon Dec 02 01:49:28 GMT 2024","passed","Mon Dec 02 01:49:29 GMT 2024","TestStore","test_store","",""
"","395","test_add_pet","tests","Mon Dec 02 01:49:24 GMT 2024","passed","Mon Dec 02 01:49:25 GMT 2024","TestPet","test_pet","",""
"","409","test_upload_image","tests","Mon Dec 02 01:49:27 GMT 2024","passed","Mon Dec 02 01:49:27 GMT 2024","TestPet","test_pet","",""
"","383","test_delete_user","tests","Mon Dec 02 01:49:30 GMT 2024","passed","Mon Dec 02 01:49:31 GMT 2024","TestUser","test_user","",""
"","405","test_update_user","tests","Mon Dec 02 01:49:30 GMT 2024","passed","Mon Dec 02 01:49:30 GMT 2024","TestUser","test_user","",""
"","382","test_find_purchase_order_by_id","tests","Mon Dec 02 01:49:28 GMT 2024","passed","Mon Dec 02 01:49:28 GMT 2024","TestStore","test_store","",""
"","409","test_create_users_with_list","tests","Mon Dec 02 01:49:29 GMT 2024","passed","Mon Dec 02 01:49:30 GMT 2024","TestUser","test_user","",""
"","385","test_delete_order","tests","Mon Dec 02 01:49:28 GMT 2024","passed","Mon Dec 02 01:49:28 GMT 2024","TestStore","test_store","",""
